;;;;;;;;;;;;;; 80.007 ; 229.027.746,30 ; 1.633.627,99 ; 227.394.118,31 ; 41.142.264,91 ; 5.760.400,78 ; -   ; -   ; -   ; 221.651.156,36 ; 74.093.414,10 ; 1.222.563,60 ; 5.631.099,16 ; 6.853.662,76 
chave_unica;Período;Ano;Mês;Trimestre;sped_origem;sentido;Registro;CFOP;CST;Alíq. Pis do SPED;Alíq. Cofins do SPED;Nat. BC. Créd.;status_conferencia;qtd_registros; total_item ; total_desconto ; total_liquido ; total_bc_icms ; total_icms ; total_icms_st ; total_ipi ; total_iss ; bc_pis_cof_calculada ; bc_pis_cof_escriturada ; total_pis ; total_cof ; total_pis_cofins 
2021|03|CONTRIBUIÇÕES|Entrada|C170|2407|51|1.6500|7.6000|02|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;2407;51;0,0165;0,0760;2;Não conferido;68; 203.941,85 ; 344,00 ; 203.597,85 ; 175.991,66 ; 12.309,70 ; -   ; -   ; -   ; 191.288,15 ; 203.597,85 ; 3.359,43 ; 15.473,40 ; 18.832,83 
2021|03|CONTRIBUIÇÕES|Entrada|C170|2923|70|0.0000|0.0000|N/A|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;2923;70;0,0000;0,0000;N/A;Não conferido;1; 5.300,00 ; -   ; 5.300,00 ; -   ; -   ; -   ; -   ; -   ; 5.300,00 ; -   ; -   ; -   ; -   
2021|03|CONTRIBUIÇÕES|Entrada|C170|2653|51|1.6500|7.6000|02|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;2653;51;0,0165;0,0760;2;Não conferido;64; 350.399,19 ; 10.661,15 ; 339.738,04 ; -   ; -   ; -   ; -   ; -   ; 339.738,04 ; 339.738,04 ; 5.605,69 ; 25.820,05 ; 31.425,74 
2021|03|CONTRIBUIÇÕES|Entrada|C170|1556|70|0.0000|0.0000|02|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;1556;70;0,0000;0,0000;2;Não conferido;1008; 822.272,75 ; 7.498,65 ; 814.774,10 ; 508.712,92 ; 89.662,36 ; -   ; -   ; -   ; 725.111,74 ; -   ; -   ; -   ; -   
2021|03|CONTRIBUIÇÕES|Entrada|C170|2407|70|0.0000|0.0000|02|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;2407;70;0,0000;0,0000;2;Não conferido;32; 468.027,14 ; 12,87 ; 468.014,27 ; 415.586,57 ; 23.595,13 ; -   ; -   ; -   ; 444.419,14 ; -   ; -   ; -   ; -   
2021|03|CONTRIBUIÇÕES|Entrada|C170|1653|51|1.6500|7.6000|02|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;1653;51;0,0165;0,0760;2;Não conferido;40; 482.553,46 ; 89,50 ; 482.463,96 ; -   ; -   ; -   ; -   ; -   ; 482.463,96 ; 482.463,96 ; 7.960,63 ; 36.667,29 ; 44.627,92 
2021|03|CONTRIBUIÇÕES|Entrada|C170|2902|98|0.0000|0.0000|N/A|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;2902;98;0,0000;0,0000;N/A;Não conferido;126; 226,00 ; -   ; 226,00 ; -   ; -   ; -   ; -   ; -   ; 226,00 ; -   ; -   ; -   ; -   
2021|03|CONTRIBUIÇÕES|Entrada|C170|2916|70|0.0000|0.0000|N/A|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;2916;70;0,0000;0,0000;N/A;Não conferido;4; 13.500,00 ; -   ; 13.500,00 ; -   ; -   ; -   ; -   ; -   ; 13.500,00 ; -   ; -   ; -   ; -   
2021|03|CONTRIBUIÇÕES|Entrada|C170|1551|70|0.0000|0.0000|10|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;1551;70;0,0000;0,0000;10;Não conferido;12; 920.000,00 ; -   ; 920.000,00 ; -   ; -   ; -   ; -   ; -   ; 920.000,00 ; -   ; -   ; -   ; -   
2021|03|CONTRIBUIÇÕES|Entrada|C170|2653|70|0.0000|0.0000|02|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;2653;70;0,0000;0,0000;2;Não conferido;1; 301,60 ; -   ; 301,60 ; -   ; -   ; -   ; -   ; -   ; 301,60 ; -   ; -   ; -   ; -   
2021|03|CONTRIBUIÇÕES|Entrada|C170|1407|51|1.6500|7.6000|02|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;1407;51;0,0165;0,0760;2;Não conferido;1684; 936.386,47 ; 49.761,02 ; 886.625,45 ; 600,45 ; 108,08 ; -   ; -   ; -   ; 886.517,37 ; 886.625,45 ; 14.629,99 ; 67.383,46 ; 82.013,45 
2021|03|CONTRIBUIÇÕES|Entrada|C170|2556|70|0.0000|0.0000|02|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;2556;70;0,0000;0,0000;2;Não conferido;141; 149.357,78 ; 2.686,78 ; 146.671,00 ; 78.580,49 ; 6.568,61 ; -   ; -   ; -   ; 140.102,39 ; -   ; -   ; -   ; -   
2021|03|CONTRIBUIÇÕES|Entrada|C170|1556|51|1.6500|7.6000|02|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;1556;51;0,0165;0,0760;2;Não conferido;723; 624.977,57 ; 3.252,39 ; 621.725,18 ; 484.218,60 ; 85.797,60 ; -   ; -   ; -   ; 535.927,58 ; 621.725,18 ; 10.258,85 ; 47.251,05 ; 57.509,90 
2021|03|CONTRIBUIÇÕES|Entrada|C170|2557|70|0.0000|0.0000|N/A|Não conferido;01/03/2021;2021;3;1;CONTRIBUIÇÕES;Entrada;C170;2557;70;0,0000;0,0000;N/A;Não conferido;4; 129.836,46 ; -   ; 129.836,46 ; -   ; -   ; -   ; -   ; -   ; 129.836,46 ; -   ; -   ; -   ; -   
